City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,278.96,75,75,12.86,AR,1733008699
1,wacheng,33.7833,114.5167,280.02,55,0,3.33,CN,1733008700
2,bethel,41.3712,-73.414,273.65,64,88,0.89,US,1733008702
3,yellowknife,62.456,-114.3525,255.68,78,100,3.6,CA,1733008703
4,hotan,37.0997,79.9269,273.05,48,99,1.44,CN,1733008704
5,saint-philippe,-21.3585,55.7679,297.09,79,36,3.15,RE,1733008705
6,hamilton,39.1834,-84.5333,274.31,51,100,4.12,US,1733008700
7,angra do heroismo,38.65,-27.2167,288.49,82,40,4.81,PT,1733008707
8,port-aux-francais,-49.35,70.2167,279.17,94,85,12.22,TF,1733008709
9,edinburgh of the seven seas,-37.0676,-12.3116,290.13,96,100,12.66,SH,1733008710
10,iqaluit,63.7506,-68.5145,267.0,68,75,5.14,CA,1733008711
11,vorgashor,67.5833,63.95,263.59,95,100,5.37,RU,1733008712
12,constantia,44.1833,28.65,277.53,73,98,9.59,RO,1733008713
13,iskateley,67.6803,53.1512,268.43,79,62,10.52,RU,1733008714
14,mejit,10.2753,170.8646,301.03,82,100,10.8,MH,1733008715
15,kailua-kona,19.6406,-155.9956,300.68,79,100,4.12,US,1733008511
16,port alfred,-33.5906,26.891,289.92,92,80,0.45,ZA,1733008718
17,novotroitskaya,45.3267,41.5253,273.96,83,28,2.84,RU,1733008719
18,puerto natales,-51.7236,-72.4875,281.06,65,55,5.09,CL,1733008567
19,baloda bazar,21.6667,82.1667,292.16,85,99,2.59,IN,1733008721
20,dudinka,69.4058,86.1778,262.27,76,100,12.86,RU,1733008723
21,west island,-12.1568,96.8225,299.14,94,20,2.06,CC,1733008724
22,bako,5.7833,36.5667,291.41,75,54,1.72,ET,1733008725
23,waitangi,-43.9535,-176.5597,284.92,76,7,11.72,NZ,1733008726
24,colonia,50.9333,6.95,276.62,80,0,3.6,DE,1733008549
25,grytviken,-54.2811,-36.5092,275.19,76,44,4.66,GS,1733008617
26,torghay,49.6339,63.4981,270.67,67,90,3.15,KZ,1733008730
27,xai-xai,-25.0519,33.6442,292.94,76,0,3.02,MZ,1733008731
28,udachny,66.4167,112.4,238.35,100,88,1.26,RU,1733008732
29,thinadhoo,0.5333,72.9333,300.58,77,88,9.25,MV,1733008733
30,hun,29.1268,15.9477,288.72,32,1,2.99,LY,1733008734
31,adamstown,-25.066,-130.1015,296.3,81,83,6.9,PN,1733008735
32,klyuchi,52.2667,79.1667,258.06,96,33,1.59,RU,1733008737
33,porangatu,-13.4408,-49.1486,296.9,90,99,1.35,BR,1733008738
34,okhotsk,59.3833,143.3,267.52,80,100,5.12,RU,1733008739
35,san antonio de pale,-1.4014,5.6325,299.4,85,100,3.72,GQ,1733008740
36,papatowai,-46.5619,169.4708,289.87,43,31,5.61,NZ,1733008741
37,invercargill,-46.4,168.35,288.72,72,12,5.36,NZ,1733008742
38,minot air force base,48.4209,-101.3391,259.25,66,75,3.6,US,1733008743
39,zhob,31.3411,69.4481,284.02,43,32,0.93,PK,1733008744
40,tahoua,14.8888,5.2692,292.42,19,84,5.32,NE,1733008690
41,tsiombe,-25.3,45.4833,293.49,77,1,2.03,MG,1733008747
42,i-n-salah,27.1935,2.4607,289.25,27,0,4.95,DZ,1733008749
43,tobruk,32.0836,23.9764,289.88,52,0,6.82,LY,1733008750
44,howrah,22.5892,88.3103,293.15,88,40,0.0,IN,1733008751
45,qaqortoq,60.7167,-46.0333,264.91,62,100,4.39,GL,1733008752
46,pitimbu,-7.4706,-34.8086,298.23,72,68,3.64,BR,1733008753
47,walvis bay,-22.9575,14.5053,288.68,87,2,1.43,NA,1733008755
48,bengkulu,-3.8004,102.2655,298.17,86,100,1.28,ID,1733008756
49,palikir - national government center,6.9248,158.1611,303.62,66,100,7.2,FM,1733008757
50,ulladulla,-35.35,150.4667,299.33,54,90,1.85,AU,1733008758
51,aasiaat,68.7098,-52.8699,253.2,99,94,2.24,GL,1733008759
52,ribeira grande,38.5167,-28.7,289.14,81,65,0.89,PT,1733008760
53,zaozersk,69.4005,32.4476,266.38,86,78,9.17,RU,1733008761
54,seropedica,-22.7439,-43.7075,295.82,98,100,1.48,BR,1733008762
55,dunedin,-45.8742,170.5036,289.29,55,18,3.66,NZ,1733008537
56,rongelap,11.1635,166.8941,301.3,80,68,10.95,MH,1733008765
57,blackmans bay,-43.0167,147.3167,295.78,78,73,2.24,AU,1733008766
58,ranau,5.9538,116.6641,294.52,89,100,0.9,MY,1733008767
59,antsiranana,-12.2787,49.2917,297.49,87,99,0.76,MG,1733008768
60,mata-utu,-13.2816,-176.1745,300.93,76,77,2.96,WF,1733008769
61,bikenibeu village,1.3673,173.1241,303.13,70,20,5.66,KI,1733008770
62,hawaiian paradise park,19.5933,-154.9731,299.88,68,40,3.6,US,1733008771
63,yemva,62.59,50.8594,266.24,94,76,2.68,RU,1733008773
64,bathsheba,13.2167,-59.5167,299.49,83,40,4.12,BB,1733008774
65,san fernando,15.0286,120.6898,298.0,85,100,2.21,PH,1733008474
66,fort mcmurray,56.7268,-111.381,253.92,77,100,1.54,CA,1733008908
67,avarua,-21.2078,-159.775,300.18,61,75,6.17,CK,1733008777
68,lensk,60.7253,114.9278,244.62,100,95,1.34,RU,1733008778
69,olonkinbyen,70.9221,-8.7187,262.46,63,100,6.84,SJ,1733008780
70,huron,41.1501,-82.5499,268.66,67,18,4.96,US,1733008781
71,fale old settlement,-9.3852,-171.2468,302.0,64,80,7.27,TK,1733008782
72,aioun,16.6614,-9.6149,295.33,13,1,5.02,MR,1733008784
73,georgetown,5.4112,100.3354,298.12,89,20,1.03,MY,1733008678
74,harper,4.375,-7.7169,299.32,84,16,3.05,LR,1733008786
75,prudentopolis,-25.2131,-50.9778,296.0,82,100,0.5,BR,1733008788
76,sitka,57.0531,-135.33,272.09,47,0,2.57,US,1733008789
77,jalai nur,49.45,117.7,260.31,94,100,6.36,CN,1733008790
78,san patricio,28.017,-97.5169,291.12,62,100,4.09,US,1733008791
79,stanley,54.868,-1.6985,284.0,91,72,6.74,GB,1733008792
80,naze,28.3667,129.4833,289.66,74,27,1.79,JP,1733008793
81,st. john's,47.5649,-52.7093,276.92,95,100,3.09,CA,1733008690
82,fortuna,40.5982,-124.1573,285.92,74,0,2.57,US,1733008796
83,okha,53.5739,142.9478,271.2,95,98,1.62,RU,1733008797
84,adrar,20.5022,-10.0711,292.23,19,54,5.18,MR,1733008798
85,geraldton,-28.7667,114.6,295.38,68,75,5.14,AU,1733008756
86,laguna,38.421,-121.4238,288.25,54,0,0.0,US,1733008800
87,quatre cocos,-20.2078,57.7625,297.21,74,2,3.32,MU,1733008801
88,port elizabeth,-33.918,25.5701,291.1,92,40,1.54,ZA,1733008803
89,byron bay,-28.65,153.6167,296.51,92,100,5.39,AU,1733009140
90,lihue,21.9789,-159.3672,299.92,71,0,3.6,US,1733009141
91,port douglas,-16.4833,145.4667,301.06,75,72,1.03,AU,1733009142
92,altai,46.3722,96.2583,261.19,68,71,1.22,MN,1733009143
93,tiksi,71.6872,128.8694,248.08,100,80,1.99,RU,1733009144
94,quang ngai,15.1167,108.8,293.04,89,93,1.52,VN,1733009145
95,ashkasham,36.6833,71.5333,262.02,85,72,1.68,AF,1733009147
96,castillos,-34.1667,-53.8333,288.28,74,5,2.9,UY,1733009148
97,jacobina,-11.1806,-40.5183,299.87,49,100,2.89,BR,1733009149
98,thompson,55.7435,-97.8558,260.24,78,100,3.6,CA,1733009150
99,nemuro,43.3236,145.575,275.04,68,3,6.44,JP,1733009151
100,maridi,4.9158,29.4742,294.03,51,74,0.35,SS,1733009152
101,ariquemes,-9.9133,-63.0408,299.27,80,86,1.47,BR,1733009085
102,bilibino,68.0546,166.4372,255.36,99,100,1.47,RU,1733009154
103,ilulissat,69.2167,-51.1,248.64,81,9,2.95,GL,1733009084
104,punta arenas,-53.15,-70.9167,281.21,71,40,9.77,CL,1733009157
105,salekhard,66.53,66.6019,266.01,84,100,4.8,RU,1733009158
106,college,64.8569,-147.8028,252.29,76,100,3.09,US,1733008871
107,andergrove,-21.0833,149.1833,299.64,79,21,2.12,AU,1733009160
108,pemangkat,1.1667,108.9667,298.9,88,90,1.83,ID,1733009161
109,dalandzadgad,43.5708,104.425,265.74,71,76,9.47,MN,1733009162
110,kruisfontein,-34.0033,24.7314,287.61,87,43,2.88,ZA,1733009163
111,kodiak,57.79,-152.4072,273.88,80,100,3.09,US,1733009165
112,gao,16.6362,1.637,292.4,18,0,4.86,ML,1733009166
113,colombo,6.9319,79.8478,300.15,82,88,6.89,LK,1733009140
114,chonchi,-42.6128,-73.8092,287.66,68,84,2.09,CL,1733009168
115,tofol,5.3248,163.0078,300.79,78,97,6.66,FM,1733009169
116,hithadhoo,-0.6,73.0833,299.8,83,100,8.82,MV,1733009170
117,zeya,53.75,127.2667,256.84,94,100,0.92,RU,1733009171
118,isafjordur,66.0755,-23.124,265.38,85,98,12.05,IS,1733009172
119,margaret river,-33.95,115.0667,290.26,69,84,5.4,AU,1733009174
120,hermanus,-34.4187,19.2345,287.48,78,81,3.85,ZA,1733009175
121,talnakh,69.4865,88.3972,262.56,72,100,9.03,RU,1733009176
122,hasaki,35.7333,140.8333,286.65,49,1,3.76,JP,1733009177
123,salinera colan,-5.0333,-81.0667,295.22,76,60,7.29,PE,1733009178
124,jamestown,42.097,-79.2353,267.6,71,20,6.69,US,1733009179
125,ulsteinvik,62.3432,5.8487,284.22,88,100,5.42,NO,1733009180
126,wailua homesteads,22.0669,-159.378,299.59,77,0,3.6,US,1733009181
127,trevelin,-43.0858,-71.4639,287.07,55,1,4.23,AR,1733009183
128,ras al khaimah city,25.7895,55.9432,294.48,52,0,1.96,AE,1733009185
129,volovets,48.7109,23.1851,274.75,96,30,1.66,UA,1733009186
130,salinopolis,-0.6136,-47.3561,300.18,81,4,3.95,BR,1733009187
131,ordynskoye,54.3656,81.8994,257.38,98,39,2.32,RU,1733009188
